"기준일자","주식종목코드","주식종목명","원문제목명","원문분류명","기준일시","URL주소","원문내용","감성지표값","스코어분류명","우편번호"
"20200113",A004020,현대제철,stock,주식,"20200113082700",https://finance.naver.com/item/news_read.nhn?article_id=0004499134&office_id=009&code=004020&sm=title_entity_id.basic,"[Hot-Line] ""현대제철, 올해도 자동차강판 가격 인상 가능성 낮아""…목표가↓","3.0",긍정,"22525"
"20200113",A002320,한진,stock,주식,"20200113091000",https://finance.naver.com/item/news_read.nhn?article_id=0004272545&office_id=015&code=002320&sm=title_entity_id.basic,"'한진' 5% 이상 상승, 2019.3Q, 매출액 5,427억(+10.6%), 영업이익 258억(+122.8%)","0.15",긍정,"04532"
"20200113",A081660,휠라코리아,stock,주식,"20200113080000",https://finance.naver.com/item/news_read.nhn?article_id=0004356467&office_id=014&code=081660&sm=title_entity_id.basic,"휠라코리아, 구조조정 재고로 실적 부진-NH","5.0",긍정,"05340"
"20200113",A047040,대우건설,stock,주식,"20200113082300",https://finance.naver.com/item/news_read.nhn?article_id=0003679477&office_id=011&code=047040&sm=title_entity_id.basic,“대우건설 4분기 실적은 시장 기대치 밑돌 전망”,"5.0",긍정,"04548"
"20200113",A094860,코닉글로리,stock,주식,"20200113090600",https://finance.naver.com/item/news_read.nhn?article_id=0004272519&office_id=015&code=094860&sm=title_entity_id.basic,"'코닉글로리' 10% 이상 상승, 최근 3일간 외국인 대량 순매수","0.19",긍정,"06045"
"20200113",A004170,신세계,stock,주식,"20200113091200",https://finance.naver.com/item/news_read.nhn?article_id=0004356515&office_id=014&code=004170&sm=title_entity_id.basic,"신세계, 강남 센트럴시티 내 카페 운영할 청년 창업자 3기 공개 모집","2.0",긍정,"04530"
"20200113",A241790,오션브릿지,stock,주식,"20200113075200",https://finance.naver.com/item/news_read.nhn?article_id=0004338909&office_id=008&code=241790&sm=title_entity_id.basic,"""오션브릿지, 현저한 저평가 상태""-이베스트투자증권","5.0",긍정,"17502"
"20200113",A112610,씨에스윈드,stock,주식,"20200113075900",https://finance.naver.com/item/news_read.nhn?article_id=0004338911&office_id=008&code=112610&sm=title_entity_id.basic,"씨에스윈드, 차이잉원 대만총통 재선에 기업가치 상승-유진證","3.0",긍정,"31109"
"20200113",A271560,오리온,stock,주식,"20200113080800",https://finance.naver.com/item/news_read.nhn?article_id=0004604469&office_id=277&code=271560&sm=title_entity_id.basic,"오리온, ‘마켓오 네이처 오 그래놀라바’ 가격변동 없이 16.7% 증량","4.0",긍정,"04369"
"20200113",A271560,오리온,stock,주식,"20200113082100",https://finance.naver.com/item/news_read.nhn?article_id=0004553667&office_id=018&code=271560&sm=title_entity_id.basic,"오리온, '오!그래놀라바' 가격 인상 없이 16.7% 증량","2.0",긍정,"04369"
